ファイル名,ID,名前,クラス,種類,コスト,攻撃,体力,効果,フレーバー,プロンプト
"N001.png","N001","見習い剣士","ニュートラル","フォロワー",1,1,1,"ファンファーレ: カードを1枚引く。","剣を握って三日目。","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「見習い剣士」。キャラクターの上半身〜全身のポートレート。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。カード効果のヒント: ファンファーレ: カードを1枚引く。。フレーバー: 剣を握って三日目。。"
"N003.png","N003","石つぶて","ニュートラル","スペル",1,,,"相手のフォロワー1体に1ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「石つぶて」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。カード効果のヒント: 相手のフォロワー1体に1ダメージ。。"
"N002.png","N002","森の番人","ニュートラル","フォロワー",2,1,3,"守護","森に入る者は、まず彼に挨拶をする。","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「森の番人」。キャラクターの上半身〜全身のポートレート。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。カード効果のヒント: 守護。フレーバー: 森に入る者は、まず彼に挨拶をする。。"
"N005.png","N005","軍旗","ニュートラル","アミュレット",2,,,"カウントダウン 2 ラストワード: 自分のフォロワー全てを+1/+1する。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「軍旗」。人物ではなく、魔法の道具・祭壇・建造物を描く。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。カード効果のヒント: カウントダウン 2 ラストワード: 自分のフォロワー全てを+1/+1する。。"
"N007.png","N007","傭兵","ニュートラル","フォロワー",2,2,2,"","金額次第で、どちらの側にもつく。","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「傭兵」。キャラクターの上半身〜全身のポートレート。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。フレーバー: 金額次第で、どちらの側にもつく。。"
"N004.png","N004","旅の吟遊詩人","ニュートラル","フォロワー",3,2,2,"ラストワード: カードを1枚引く。","最後の歌は、いつも次の物語の始まりだった。","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「旅の吟遊詩人」。キャラクターの上半身〜全身のポートレート。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。カード効果のヒント: ラストワード: カードを1枚引く。。フレーバー: 最後の歌は、いつも次の物語の始まりだった。。"
"N009.png","N009","村の治療師","ニュートラル","フォロワー",3,2,3,"ファンファーレ: 自分のリーダーを3回復。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「村の治療師」。キャラクターの上半身〜全身のポートレート。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。カード効果のヒント: ファンファーレ: 自分のリーダーを3回復。。"
"N013.png","N013","突撃兵","ニュートラル","フォロワー",3,3,2,"突進","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「突撃兵」。キャラクターの上半身〜全身のポートレート。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。カード効果のヒント: 突進。"
"N014.png","N014","祈りの祭壇","ニュートラル","アミュレット",3,,,"カウントダウン 3 ラストワード: 自分のリーダーを5回復。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「祈りの祭壇」。人物ではなく、魔法の道具・祭壇・建造物を描く。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。カード効果のヒント: カウントダウン 3 ラストワード: 自分のリーダーを5回復。。"
"N015.png","N015","偵察隊の報告","ニュートラル","スペル",3,,,"カードを2枚引く。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「偵察隊の報告」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。カード効果のヒント: カードを2枚引く。。"
